temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,value_basis,source_segment,suggested_total_relative_uncertainty_pct,independent_measurement,interpolation_method,source_figure
75,0.16955,16.955,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
76,0.170021,17.0021,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
77,0.170422,17.0422,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
78,0.170731,17.0731,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
79,0.17093,17.093,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
80,0.171,17.1,digitized_trace_anchor,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
81,0.171,17.1,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
82,0.171,17.1,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
83,0.171,17.1,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
84,0.171,17.1,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
85,0.171,17.1,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
